index,identifier,prepositions,conjunctions,determiners,pronouns,auxiliary_verbs,adverbs,qualifiers,older_particles,word_length,TTR,sentence_len,mtld,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pron_ratio,1-4%,5-8%,9+%,.,",",!,?,:,;,-,(,),[,],"""",in ,n t, th,the,he , be,ing,ng ,ed ,d t,e h, he,en , an,and,nd ,ear,th , wa, wi,wit,ith,tho,hou,ut , fo,for,", a",on ,e f,e o, of,of ,f t,e s,it ,t o,e w, sa,"d, ",t t,her,ere,re ,be ,", t",tha,hat,at , it,all,e c,e t,st ,e a, a , in,"s, ", ma, wh, un,er ,r t,ve , so, se, to,unt,nto,to ,"e, ",d a,d h, hi,his,is ,hem,or , al,our, ha,l t,hal,ll ,n o,s o,o t,ou , sh,sha, no, co
0,Genesis_1,0.088972431,0.121553885,0.170426065,0.060150376,0.036340852,0.006265664,0.001253133,0.002506266,3.968671679,0.189223058,123.8181818,26.13996221,0.234527687,0.144408252,0.043431053,0.016286645,0.055374593,0.69924812,0.28320802,0.01754386,33,68,0,0,17,6,0,0,0,0,0,0,15,24,144,127,114,16,37,34,20,36,8,17,9,97,99,99,24,21,28,2,1,1,1,1,1,19,12,41,12,24,6,20,20,15,10,19,10,13,18,20,15,14,15,16,9,2,14,15,16,18,8,3,22,5,8,2,13,8,10,9,4,27,11,8,7,13,13,2,2,13,9,2,5,10,9,13,8,6,3,3,6,4,2,4,3,1,1,2,1,1,,
1,Genesis_2,0.12164297,0.101105845,0.161137441,0.086887836,0.052132701,0.020537125,0,0,3.772511848,0.301737757,140.6363636,35.73638924,0.230225989,0.134180791,0.040960452,0.02259887,0.06920904,0.747235387,0.236966825,0.015797788,22,32,0,0,12,10,0,0,0,0,0,0,7,12,108,95,86,11,3,2,17,32,12,18,8,59,61,64,6,12,8,3,,,4,5,9,15,12,20,4,11,14,38,39,23,10,10,14,9,5,8,10,15,16,15,3,4,10,12,12,13,12,2,12,10,7,8,10,3,20,14,3,8,2,3,1,5,15,3,6,18,3,10,8,14,10,23,3,6,6,2,7,3,6,12,3,1,5,4,9,7,8,3
2,Genesis_3,0.123563218,0.091954023,0.11637931,0.113505747,0.058908046,0.010057471,0,0.002873563,3.75862069,0.290229885,213.1875,32.11091659,0.249686324,0.148055207,0.051442911,0.027603513,0.065244668,0.770114943,0.216954023,0.012931034,16,58,0,5,8,14,0,0,0,0,0,0,8,10,132,90,82,17,7,5,14,30,4,20,10,57,61,59,3,10,12,9,2,3,22,22,5,11,11,23,1,7,13,39,40,26,20,8,14,16,18,18,22,13,7,6,5,10,8,10,19,8,16,2,21,19,7,2,8,6,8,11,14,5,2,6,4,9,14,14,14,24,10,11,12,9,8,10,4,6,8,1,9,5,19,18,4,7,13,20,23,19,6,5
3,Genesis_4,0.118483412,0.107424961,0.102685624,0.064770932,0.052132701,0.011058452,0.001579779,0.001579779,3.906793049,0.344391785,118.9259259,36.3808285,0.246612466,0.14498645,0.052845528,0.024390244,0.079945799,0.755134281,0.213270142,0.031595577,27,45,0,6,14,10,2,0,0,0,0,0,22,13,69,59,53,13,6,4,10,12,7,13,8,66,66,67,7,9,10,7,1,1,10,11,4,2,4,15,4,10,12,28,25,16,9,5,5,7,9,13,9,18,5,10,7,7,5,7,10,4,14,6,8,8,11,13,9,5,4,9,14,16,2,7,3,8,12,16,14,25,2,10,10,25,17,20,,2,4,,12,1,11,12,2,5,5,10,19,11,7,5
4,Genesis_5,0.041584158,0.2,0.051485149,0.071287129,0.02970297,0.001980198,0,0,4.299009901,0.192079208,211.2307692,28.52676475,0.206239168,0.164644714,0.060658579,0.006932409,0.062391681,0.592079208,0.366336634,0.041584158,13,26,0,0,30,4,0,0,0,0,0,0,4,4,29,21,40,29,2,1,53,14,13,23,9,100,96,96,28,7,4,2,2,2,,,,2,3,20,1,,1,14,14,2,3,,,1,2,,,,11,11,,1,2,3,29,,13,3,2,,2,2,4,19,8,2,,10,,10,11,12,2,,,,,33,16,6,6,7,3,1,9,2,4,9,6,10,,13,,,2,1,5,2
5,Genesis_6,0.151724138,0.082758621,0.120689655,0.106896552,0.055172414,0.006896552,0,0.005172414,3.894827586,0.331034483,139.4285714,39.89619144,0.233979136,0.128166915,0.046199702,0.026825633,0.067064083,0.717241379,0.260344828,0.022413793,21,52,0,0,3,15,0,0,0,0,0,0,12,16,111,74,48,13,10,9,11,22,3,7,8,45,45,43,17,21,9,20,12,12,14,13,3,12,9,21,7,6,4,33,32,8,5,14,2,5,6,14,12,5,7,9,4,10,11,11,13,13,15,3,11,1,13,4,12,6,14,7,6,7,7,4,8,2,10,5,7,16,4,2,4,8,7,14,10,8,13,,5,1,17,17,3,11,9,10,18,17,8,9
6,Genesis_7,0.148717949,0.109401709,0.167521368,0.064957265,0.030769231,0.005128205,0,0,3.979487179,0.28034188,142.9047619,28.3032119,0.222222222,0.112592593,0.047407407,0.017777778,0.038518519,0.721367521,0.244444444,0.034188034,21,54,0,0,4,9,0,0,0,0,0,0,13,23,105,83,73,8,11,9,15,24,4,3,7,62,66,63,18,16,18,10,3,3,2,3,1,13,8,30,15,12,7,34,33,11,6,3,,15,2,8,5,2,14,14,,11,13,13,14,3,11,4,6,2,16,,20,9,8,5,5,6,3,4,5,9,4,6,9,13,8,8,10,16,10,11,2,2,14,,5,7,1,13,,7,6,2,3,1,15,6
7,Genesis_8,0.134582624,0.103918228,0.166950596,0.044293015,0.028960818,0.00681431,0,0.003407155,3.955706985,0.325383305,200.0666667,29.90989688,0.218795888,0.118942731,0.052863436,0.033773862,0.042584435,0.696763203,0.275979557,0.02725724,15,55,0,0,8,13,0,0,0,0,0,0,17,18,95,83,82,4,15,9,21,18,2,16,6,62,59,63,15,27,14,15,5,6,1,1,4,21,15,28,10,11,6,34,26,21,12,2,5,12,4,6,4,7,10,10,1,6,6,7,7,2,5,3,9,5,16,4,14,4,5,6,7,11,6,6,6,13,9,10,7,13,4,9,9,13,6,8,,4,6,1,4,3,1,5,2,5,3,,2,1,11,4
8,Genesis_9,0.130500759,0.104704097,0.128983308,0.083459788,0.083459788,0.004552352,0,0.001517451,3.936267071,0.291350531,139.5833333,31.29547086,0.200527704,0.146437995,0.035620053,0.017150396,0.080474934,0.690440061,0.285280728,0.024279211,24,50,0,0,7,16,0,0,0,0,0,0,7,10,81,73,61,28,11,9,11,15,8,10,14,69,72,71,15,18,5,19,11,13,1,2,3,8,6,24,10,10,4,37,36,14,9,3,6,5,8,8,5,13,10,15,16,7,10,11,15,5,26,8,12,4,12,9,7,3,9,8,6,11,3,2,5,8,11,5,6,12,3,10,12,13,13,22,6,4,10,4,10,6,16,33,3,8,1,5,23,16,12,9
9,Genesis_10,0.112903226,0.173387097,0.110887097,0.028225806,0.02016129,0,0,0,4.302419355,0.358870968,115.25,16.58387065,0.280757098,0.061514196,0.034700315,0.011041009,0.039432177,0.610887097,0.356854839,0.032258065,24,90,0,0,9,13,0,1,1,0,0,0,10,12,75,75,51,12,3,2,3,24,2,3,9,87,90,88,3,4,7,,,,3,3,2,2,5,73,1,5,1,27,27,7,14,1,3,6,6,5,1,5,9,14,1,2,1,2,8,1,2,7,10,2,9,4,10,8,3,2,7,16,11,,14,2,7,11,7,10,9,10,7,7,6,7,5,1,4,,8,2,,2,3,15,1,3,8,3,2,2
